Rxn name	Formula	Gene-reaction association	LB	UB	Objective
12DGR120tipp	12dgr120[p]  -> 12dgr120[c] 		  0.00	1000.00	  0.00
12DGR140tipp	12dgr140[p]  -> 12dgr140[c] 		  0.00	1000.00	  0.00
12DGR141tipp	12dgr141[p]  -> 12dgr141[c] 		  0.00	1000.00	  0.00
12DGR160tipp	12dgr160[p]  -> 12dgr160[c] 		  0.00	1000.00	  0.00
12DGR161tipp	12dgr161[p]  -> 12dgr161[c] 		  0.00	1000.00	  0.00
12DGR180tipp	12dgr180[p]  -> 12dgr180[c] 		  0.00	1000.00	  0.00
12DGR181tipp	12dgr181[p]  -> 12dgr181[c] 		  0.00	1000.00	  0.00
12PPDRtex_fwd	12ppd__R[e]  -> 12ppd__R[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
12PPDRtex_rvs	12ppd__R[p]  -> 12ppd__R[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
12PPDRtpp	12ppd__R[p]  <=> 12ppd__R[c] 		-1000.00	1000.00	  0.00
12PPDStex_fwd	12ppd__S[e]  -> 12ppd__S[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
12PPDStex_rvs	12ppd__S[p]  -> 12ppd__S[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
12PPDStpp	12ppd__S[p]  <=> 12ppd__S[c] 		-1000.00	1000.00	  0.00
13PPDH2_fwd	h[c] + 3hppnl[c] + nadph[c]  -> 13ppd[c] + nadp[c] 	b3011	  0.00	1000.00	  0.00
13PPDH2_rvs	13ppd[c] + nadp[c]  -> h[c] + 3hppnl[c] + nadph[c] 	b3011	  0.00	1000.00	  0.00
14GLUCANabcpp	14glucan[p] + atp[c] + h2o[c]  -> h[c] + adp[c] + pi[c] + 14glucan[c] 	( b4035 and b4032 and b4034 and b4033 )	  0.00	1000.00	  0.00
14GLUCANtexi	14glucan[e]  -> 14glucan[p] 	b4036	  0.00	1000.00	  0.00
23CAMPtex_fwd	23camp[e]  -> 23camp[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CAMPtex_rvs	23camp[p]  -> 23camp[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CCMPtex_fwd	23ccmp[e]  -> 23ccmp[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CCMPtex_rvs	23ccmp[p]  -> 23ccmp[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CGMPtex_fwd	23cgmp[e]  -> 23cgmp[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CGMPtex_rvs	23cgmp[p]  -> 23cgmp[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CUMPtex_fwd	23cump[e]  -> 23cump[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23CUMPtex_rvs	23cump[p]  -> 23cump[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23DAPPAt2pp	h[p] + 23dappa[p]  -> h[c] + 23dappa[c] 		  0.00	1000.00	  0.00
23DAPPAtex_fwd	23dappa[e]  -> 23dappa[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23DAPPAtex_rvs	23dappa[p]  -> 23dappa[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
23DOGULNt4pp	na1[p] + 23doguln[p]  -> 23doguln[c] + na1[c] 	( b3579 and b3577 and b3578 )	  0.00	1000.00	  0.00
23PDE2pp	23cump[p] + h2o[p]  -> h[p] + 3ump[p] 	b4213	  0.00	1000.00	  0.00
23PDE4pp	23ccmp[p] + h2o[p]  -> h[p] + 3cmp[p] 	b4213	  0.00	1000.00	  0.00
23PDE7pp	23camp[p] + h2o[p]  -> h[p] + 3amp[p] 	b4213	  0.00	1000.00	  0.00
23PDE9pp	23cgmp[p] + h2o[p]  -> h[p] + 3gmp[p] 	b4213	  0.00	1000.00	  0.00
26DAHtex_fwd	26dap__M[e]  -> 26dap__M[p] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
26DAHtex_rvs	26dap__M[p]  -> 26dap__M[e] 	( b1377 or b0241 or b0929 or b2215 )	  0.00	1000.00	  0.00
2AGPA120tipp	2ddecg3p[p]  -> 2ddecg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA140tipp	2tdecg3p[p]  -> 2tdecg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA141tipp	2tdec7eg3p[p]  -> 2tdec7eg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA160tipp	2hdecg3p[p]  -> 2hdecg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA161tipp	2hdec9eg3p[p]  -> 2hdec9eg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA180tipp	2odecg3p[p]  -> 2odecg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPA181tipp	2odec11eg3p[p]  -> 2odec11eg3p[c] 	b2835	  0.00	1000.00	  0.00
2AGPE120tipp	2agpe120[p]  -> 2agpe120[c] 	b2835	  0.00	1000.00	  0.00
2AGPE140tipp	2agpe140[p]  -> 2agpe140[c] 	b2835	  0.00	1000.00	  0.00
2AGPE141tipp	2agpe141[p]  -> 2agpe141[c] 	b2835	  0.00	1000.00	  0.00
2AGPE160tipp	2agpe160[p]  -> 2agpe160[c] 	b2835	  0.00	1000.00	  0.00
2AGPE161tipp	2agpe161[p]  -> 2agpe161[c] 	b2835	  0.00	1000.00	  0.00
2AGPE180tipp	2agpe180[p]  -> 2agpe180[c] 	b2835	  0.00	1000.00	  0.00
2AGPE181tipp	2agpe181[p]  -> 2agpe181[c] 	b2835	  0.00	1000.00	  0.00
2AGPEAT120	atp[c] + 2agpe120[c] + ddca[c]  -> pe120[c] + ppi[c] + amp[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT140	atp[c] + 2agpe140[c] + ttdca[c]  -> ppi[c] + amp[c] + pe140[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT141	atp[c] + 2agpe141[c] + ttdcea[c]  -> ppi[c] + amp[c] + pe141[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT160	atp[c] + 2agpe160[c] + hdca[c]  -> ppi[c] + amp[c] + pe160[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT161	atp[c] + 2agpe161[c] + hdcea[c]  -> ppi[c] + amp[c] + pe161[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT180	atp[c] + 2agpe180[c] + ocdca[c]  -> ppi[c] + amp[c] + pe180[c] 	b2836	  0.00	1000.00	  0.00
2AGPEAT181	atp[c] + 2agpe181[c] + ocdcea[c]  -> ppi[c] + amp[c] + pe181[c] 	b2836	  0.00	1000.00	  0.00
2AGPG120tipp	2agpg120[p]  -> 2agpg120[c] 	b2835	  0.00	1000.00	  0.00
2AGPG140tipp	2agpg140[p]  -> 2agpg140[c] 	b2835	  0.00	1000.00	  0.00
2AGPG141tipp	2agpg141[p]  -> 2agpg141[c] 	b2835	  0.00	1000.00	  0.00
2AGPG160tipp	2agpg160[p]  -> 2agpg160[c] 	b2835	  0.00	1000.00	  0.00
2AGPG161tipp	2agpg161[p]  -> 2agpg161[c] 	b2835	  0.00	1000.00	  0.00
2AGPG180tipp	2agpg180[p]  -> 2agpg180[c] 	b2835	  0.00	1000.00	  0.00
2AGPG181tipp	2agpg181[p]  -> 2agpg181[c] 	b2835	  0.00	1000.00	  0.00
2AGPGAT120	atp[c] + ddca[c] + 2agpg120[c]  -> ppi[c] + amp[c] + pg120[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT140	atp[c] + ttdca[c] + 2agpg140[c]  -> ppi[c] + amp[c] + pg140[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT141	atp[c] + ttdcea[c] + 2agpg141[c]  -> ppi[c] + amp[c] + pg141[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT160	atp[c] + hdca[c] + 2agpg160[c]  -> ppi[c] + amp[c] + pg160[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT161	atp[c] + hdcea[c] + 2agpg161[c]  -> ppi[c] + amp[c] + pg161[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT180	atp[c] + ocdca[c] + 2agpg180[c]  -> ppi[c] + amp[c] + pg180[c] 	b2836	  0.00	1000.00	  0.00
2AGPGAT181	atp[c] + ocdcea[c] + 2agpg181[c]  -> ppi[c] + amp[c] + pg181[c] 	b2836	  0.00	1000.00	  0.00
2DDARAA_fwd	2ddara[c]  -> pyr[c] + gcald[c] 	( b4298 or b0268 )	  0.00	1000.00	  0.00
2DDARAA_rvs	pyr[c] + gcald[c]  -> 2ddara[c] 	( b4298 or b0268 )	  0.00	1000.00	  0.00
2DGLCptspp	pep[c] + 2dglc[p]  -> pyr[c] + 2doxg6p[c] 	( b2416 and b1817 and b2415 and b1819 and b1818 )	  0.00	1000.00	  0.00
2DGLCtex_fwd	2dglc[e]  -> 2dglc[p] 	( b2215 or b1377 or b0241 or b0929 )	  0.00	1000.00	  0.00
